Date,SPY,SPY_Volume,VOO,VOO_Volume,IVV,IVV_Volume,QQQ,QQQ_Volume,DIA,DIA_Volume
2021-04-05 16:30,403.55499267578125,1969280.0,370.9599914550781,361355.0,405.0499877929688,202121.0,327.2300109863281,1343213.0,334.0299987792969,233559.0
2021-04-05 16:31,403.6900024414063,2312088.0,371.0899963378906,390153.0,405.2099914550781,263877.0,327.0,1756074.0,334.36151123046875,270552.0
2021-04-05 16:32,403.8699951171875,2637526.0,371.25,409075.0,405.3399963378906,276879.0,327.17999267578125,1958859.0,334.510009765625,321314.0
2021-04-05 16:33,404.2200012207031,3194117.0,371.510009765625,461844.0,405.6600036621094,331259.0,327.4800109863281,2173754.0,334.5450134277344,399998.0
2021-04-05 16:34,404.1400146484375,3624006.0,371.4700012207031,485728.0,405.6400146484375,355101.0,327.5799865722656,2372529.0,334.55999755859375,426362.0
2021-04-05 16:35,404.2799987792969,4062710.0,371.6300048828125,503648.0,405.8190002441406,375461.0,327.4800109863281,2544504.0,334.75,450228.0
2021-04-05 16:37,404.1299133300781,4819163.0,371.4800109863281,543571.0,405.6700134277344,416948.0,327.70001220703125,3053099.0,334.5484924316406,553171.0
2021-04-05 16:38,403.9700012207031,5073985.0,371.3299865722656,560198.0,405.4700012207031,428893.0,327.5,3228509.0,334.44000244140625,568363.0
2021-04-05 16:39,403.95001220703125,5449979.0,371.2999877929688,572532.0,405.44580078125,450527.0,327.54998779296875,3374188.0,334.45001220703125,583168.0
2021-04-05 16:40,403.8999938964844,5731492.0,371.2799987792969,587278.0,405.4400024414063,468706.0,327.5400085449219,3522300.0,334.45001220703125,606801.0
2021-04-05 16:41,403.9400024414063,6224406.0,371.3299865722656,632258.0,405.45001220703125,484304.0,327.5400085449219,3712664.0,334.5,621654.0
2021-04-05 16:42,404.0150146484375,6415489.0,371.3999938964844,665202.0,405.5299987792969,501228.0,327.68499755859375,3830052.0,334.4700012207031,926456.0
2021-04-05 16:43,404.0650024414063,6560084.0,371.3800048828125,696189.0,405.5299987792969,515114.0,327.489990234375,3938329.0,334.5096130371094,942333.0
2021-04-05 16:44,403.9649963378906,6730955.0,371.3399963378906,708248.0,405.489990234375,526989.0,327.5849914550781,4068295.0,334.30999755859375,965877.0
2021-04-05 16:45,404.1199951171875,7448947.0,371.4898986816406,722356.0,405.67999267578125,539002.0,327.9800109863281,4258358.0,334.3699951171875,996159.0
2021-04-05 16:46,404.260009765625,7689396.0,371.5899963378906,737225.0,405.760009765625,558157.0,328.19000244140625,4467406.0,334.43499755859375,1009358.0
2021-04-05 16:47,404.3800048828125,7955679.0,371.6994018554688,750448.0,405.8800048828125,575394.0,328.2250061035156,4610882.0,334.4200134277344,1024909.0
2021-04-05 16:48,404.3999938964844,8210918.0,371.7550048828125,767870.0,405.8900146484375,583583.0,328.3800048828125,4805857.0,334.32501220703125,1041318.0
2021-04-05 16:49,404.3299865722656,8374378.0,371.6700134277344,776124.0,405.8399963378906,589866.0,328.5350036621094,4983289.0,334.19000244140625,1062902.0
2021-04-05 16:50,404.349609375,8536033.0,371.6860046386719,807346.0,405.8699951171875,601479.0,328.4949951171875,5252564.0,334.19000244140625,1078499.0
2021-04-05 16:51,404.32989501953125,9076349.0,371.7049865722656,828307.0,405.8599853515625,616097.0,328.5,5403908.0,334.239990234375,1101502.0
2021-04-05 16:52,404.4599914550781,9234660.0,371.80999755859375,858988.0,406.0,638862.0,328.5799865722656,5493525.0,334.29998779296875,1106406.0
2021-04-05 16:53,404.489990234375,9472520.0,371.8399963378906,873986.0,406.010009765625,651870.0,328.6990051269531,5578326.0,334.2099914550781,1284422.0
2021-04-05 16:54,404.4100036621094,9617917.0,371.7449951171875,881143.0,405.9200134277344,664733.0,328.4599914550781,5721142.0,334.1199951171875,1325216.0
2021-04-05 16:55,404.4800109863281,9808510.0,371.82501220703125,897026.0,406.01849365234375,680377.0,328.55999755859375,5867547.0,334.2300109863281,1377631.0
2021-04-05 16:56,404.510009765625,9975244.0,371.8599853515625,910046.0,406.0400085449219,696097.0,328.5,5950418.0,334.2900085449219,1414645.0
2021-04-05 16:57,404.6000061035156,10161257.0,371.9200134277344,926987.0,406.1099853515625,712619.0,328.5617980957031,6081302.0,334.3699951171875,1426286.0
2021-04-05 16:58,404.55499267578125,10338851.0,371.8900146484375,942337.0,406.0799865722656,716281.0,328.5389099121094,6149388.0,334.3500061035156,1433299.0
2021-04-05 16:59,404.5799865722656,11110765.0,371.8999938964844,967060.0,406.1099853515625,727889.0,328.55999755859375,6232846.0,334.3699951171875,1468256.0
2021-04-05 17:00,404.3299865722656,11755991.0,371.6700134277344,1007466.0,405.80999755859375,760129.0,328.1499938964844,6486812.0,334.1700134277344,1520463.0
2021-04-05 17:01,404.489990234375,12055083.0,371.8200073242188,1032894.0,406.00140380859375,782765.0,328.5199890136719,6785761.0,334.29998779296875,1552024.0
2021-04-05 17:02,404.5400085449219,12483677.0,371.8699951171875,1045172.0,406.0589904785156,793997.0,328.635009765625,6893016.0,334.3699951171875,1573794.0
2021-04-05 17:03,404.5899963378906,12633124.0,371.90130615234375,1052743.0,406.0799865722656,803648.0,328.55999755859375,6989746.0,334.3800048828125,1757935.0
2021-04-05 17:04,404.5450134277344,12803879.0,371.875,1070533.0,406.05999755859375,807701.0,328.6700134277344,7151446.0,334.3500061035156,1782547.0
2021-04-05 17:05,404.5299987792969,13065672.0,371.8399963378906,1078584.0,406.0499877929688,811957.0,328.6000061035156,7335701.0,334.30999755859375,1804822.0
